width
8.311
8.337
8.323
8.376
8.347
8.414
8.349
8.367
8.489
8.426
8.477
8.379
8.487
8.397
8.412
8.423
8.379
8.469
8.493
8.449
8.442
8.407
8.497
8.407
8.483
8.419
8.481
8.423
8.454
8.469
8.452
8.447
8.432
8.468
8.404
8.417
8.413
8.404
8.316
8.427
8.396
8.449
8.408
8.442
8.405
8.435
8.416
8.495
8.404
8.416
